num_planets,solid_mass,mass_efficiency
11.0,8.136583179011339,62.589101377010294
13.0,2.8274697818159558,148.81419904294503
9.0,7.979542735384084,101.00687006815296
18.0,6.94485525309034,694.485525309034
10.0,3.19364857406066,76.03925176334904
19.0,4.663430696603264,137.1597263706842
17.0,3.3888798011802588,169.44399005901295
12.0,5.33494241829322,183.96353166528345
12.0,3.9976668444794052,90.85606464725922
11.0,10.594000463050385,96.30909511863986
10.0,5.2629329843052,169.77203175178064
7.0,8.657026564641326,240.47296012892573
5.0,0.43870066083033354,16.873102339628215
9.0,8.101849185529792,115.74070265042559
10.0,23.17984359023084,110.38020757252781
10.0,10.614746720621767,408.2594892546834
15.0,6.386569492055812,82.94246093578977
13.0,1.2387309048809734,172.0459590112463
11.0,2.4985129435982856,99.94051774393142
12.0,6.061782944817754,104.51349904858196
4.0,0.27807119652146683,34.329777348329245
17.0,2.030174071368612,184.56127921532837
13.0,4.299753294201194,214.9876647100597
9.0,0.8058158531314102,61.98583485626233
8.0,4.067677475186718,58.109678216953114
6.0,8.632215651969856,102.76447204726018
9.0,6.574327873311379,193.36258450915818
9.0,2.647309937839107,105.89239751356428
24.0,5.351815225039273,281.6744855283828
18.0,4.0151279674130524,167.29699864221053
10.0,4.603398558962876,158.73788134354746
11.0,11.20862924650128,74.72419497667521
10.0,10.82325900005314,108.23259000053139
6.0,0.43524831615205817,36.270693012671515
12.0,15.319434985428693,437.69814244081977
17.0,7.000536626816528,233.35122089388426
10.0,0.9720688433336184,103.41157907804451
15.0,4.633887484276596,308.9258322851064
17.0,5.931036767301407,257.87116379571336
13.0,11.170127568263547,587.9014509612393
19.0,3.244458568178491,334.4802647606692
12.0,15.788049559098685,157.88049559098684
4.0,0.28892835804164385,33.99157153431104
9.0,8.938817343584232,151.5053787048175
8.0,7.371335633908394,460.7084771192746
12.0,3.6363810125557707,173.16100059789383
15.0,1.5384905452914899,96.15565908071811
16.0,2.2742874638589607,103.37670290268004
19.0,4.482386158106255,172.39946761947135
14.0,4.150341316168688,218.43901664045725
13.0,3.7289706713512407,177.57003196910668
11.0,6.689747603502849,352.0919791317289
8.0,9.421063982083389,209.35697737963088
10.0,10.1169061638712,187.35011414576294
8.0,3.5442551476284168,118.14183825428056
21.0,8.298422493841953,296.37223192292686
25.0,4.64390273851709,185.75610954068358
9.0,5.580277659404802,223.21110637619205
10.0,3.741166157297498,162.6593981433695
9.0,0.800880988250208,131.29196528691935
14.0,1.4459509956195173,68.8548093152151
3.0,0.20015090256896514,5.718597216256146
9.0,6.349478498004353,211.64928326681178
11.0,5.488559148245154,93.0264262414433
8.0,5.818547660831803,223.79029464737707
13.0,10.122864931024992,187.460461685648
2.0,0.12858018920402975,14.286687689336643
13.0,9.192049762605638,114.90062203257047
16.0,3.6413385938716774,134.86439236561768
15.0,2.3962882073953744,199.69068394961454
2.0,0.1405919218612836,17.35702739028193
15.0,6.826095913372751,166.49014422860367
11.0,3.0708241721324874,139.58291691511306
22.0,8.754573420838287,625.3266729170206
10.0,3.8196775432767,131.71301873367932
14.0,16.630002020539592,263.968286040311
7.0,0.6542695795679145,93.46708279541636
10.0,5.314750534166044,48.31591394696404
12.0,8.829344600596217,133.77794849388206
10.0,5.182350221066673,172.7450073688891
16.0,4.933241758653164,164.44139195510547
10.0,5.330343011765898,136.67546184015123
19.0,4.960772836533578,310.0483022833486
10.0,3.8308707387078287,98.22745483866227
15.0,11.57983609119871,199.65234639997774
8.0,5.640569247748985,58.755929664051926
15.0,3.189037055976309,122.65527138370419
12.0,14.12228785886735,282.445757177347
12.0,8.274317298659474,201.81261704047498
16.0,16.363730268091576,86.1248961478504
7.0,5.798789992460178,305.1994732873778
13.0,17.656266932308203,200.6393969580478
9.0,0.7089461815163643,33.75934197696973
12.0,14.498429611772492,131.80390556156811
10.0,7.276382847430592,363.8191423715296
13.0,578.5765228298171,16530.75779513763
11.0,6.312560235225406,75.14952660982625
